"document","topic","gamma"
"doc2",1,0.171717171717172
"doc11",1,0.183098591549296
"doc29",1,0.228571428571429
"doc6",1,0.169642857142857
"doc1",1,0.226190476190476
"doc14",1,0.175
"doc15",1,0.193548387096774
"doc17",1,0.25
"doc20",1,0.191489361702128
"doc38",1,0.168539325842697
"doc10",1,0.236363636363636
"doc16",1,0.173333333333333
"doc18",1,0.178571428571429
"doc19",1,0.175438596491228
"doc21",1,0.17910447761194
"doc25",1,0.178082191780822
"doc27",1,0.211267605633803
"doc35",1,0.25
"doc8",1,0.266666666666667
"doc12",1,0.241935483870968
"doc13",1,0.196428571428571
"doc22",1,0.196428571428571
"doc23",1,0.185185185185185
"doc24",1,0.196078431372549
"doc26",1,0.171875
"doc28",1,0.215384615384615
"doc3",1,0.197183098591549
"doc30",1,0.205479452054795
"doc31",1,0.185185185185185
"doc32",1,0.180327868852459
"doc33",1,0.192307692307692
"doc34",1,0.203389830508475
"doc36",1,0.203703703703704
"doc37",1,0.192982456140351
"doc4",1,0.220338983050847
"doc5",1,0.211538461538462
"doc7",1,0.223880597014925
"doc9",1,0.178571428571429
"doc2",2,0.292929292929293
"doc11",2,0.133802816901408
"doc29",2,0.171428571428571
"doc6",2,0.232142857142857
"doc1",2,0.226190476190476
"doc14",2,0.3125
"doc15",2,0.17741935483871
"doc17",2,0.153846153846154
"doc20",2,0.226950354609929
"doc38",2,0.258426966292135
"doc10",2,0.218181818181818
"doc16",2,0.213333333333333
"doc18",2,0.202380952380952
"doc19",2,0.263157894736842
"doc21",2,0.208955223880597
"doc25",2,0.150684931506849
"doc27",2,0.183098591549296
"doc35",2,0.191176470588235
"doc8",2,0.2
"doc12",2,0.161290322580645
"doc13",2,0.214285714285714
"doc22",2,0.232142857142857
"doc23",2,0.240740740740741
"doc24",2,0.215686274509804
"doc26",2,0.1875
"doc28",2,0.169230769230769
"doc3",2,0.183098591549296
"doc30",2,0.191780821917808
"doc31",2,0.185185185185185
"doc32",2,0.213114754098361
"doc33",2,0.230769230769231
"doc34",2,0.203389830508475
"doc36",2,0.240740740740741
"doc37",2,0.210526315789474
"doc4",2,0.220338983050847
"doc5",2,0.211538461538462
"doc7",2,0.194029850746269
"doc9",2,0.178571428571429
"doc2",3,0.202020202020202
"doc11",3,0.28169014084507
"doc29",3,0.20952380952381
"doc6",3,0.1875
"doc1",3,0.166666666666667
"doc14",3,0.1875
"doc15",3,0.17741935483871
"doc17",3,0.230769230769231
"doc20",3,0.113475177304965
"doc38",3,0.179775280898876
"doc10",3,0.181818181818182
"doc16",3,0.16
"doc18",3,0.202380952380952
"doc19",3,0.192982456140351
"doc21",3,0.164179104477612
"doc25",3,0.232876712328767
"doc27",3,0.23943661971831
"doc35",3,0.161764705882353
"doc8",3,0.2
"doc12",3,0.209677419354839
"doc13",3,0.178571428571429
"doc22",3,0.178571428571429
"doc23",3,0.203703703703704
"doc24",3,0.196078431372549
"doc26",3,0.21875
"doc28",3,0.246153846153846
"doc3",3,0.211267605633803
"doc30",3,0.178082191780822
"doc31",3,0.203703703703704
"doc32",3,0.213114754098361
"doc33",3,0.192307692307692
"doc34",3,0.186440677966102
"doc36",3,0.185185185185185
"doc37",3,0.192982456140351
"doc4",3,0.186440677966102
"doc5",3,0.192307692307692
"doc7",3,0.164179104477612
"doc9",3,0.196428571428571
"doc2",4,0.202020202020202
"doc11",4,0.28169014084507
"doc29",4,0.171428571428571
"doc6",4,0.133928571428571
"doc1",4,0.178571428571429
"doc14",4,0.1625
"doc15",4,0.258064516129032
"doc17",4,0.163461538461538
"doc20",4,0.212765957446809
"doc38",4,0.191011235955056
"doc10",4,0.181818181818182
"doc16",4,0.213333333333333
"doc18",4,0.226190476190476
"doc19",4,0.175438596491228
"doc21",4,0.238805970149254
"doc25",4,0.232876712328767
"doc27",4,0.183098591549296
"doc35",4,0.191176470588235
"doc8",4,0.16
"doc12",4,0.17741935483871
"doc13",4,0.232142857142857
"doc22",4,0.196428571428571
"doc23",4,0.185185185185185
"doc24",4,0.196078431372549
"doc26",4,0.1875
"doc28",4,0.153846153846154
"doc3",4,0.225352112676056
"doc30",4,0.219178082191781
"doc31",4,0.222222222222222
"doc32",4,0.19672131147541
"doc33",4,0.192307692307692
"doc34",4,0.220338983050847
"doc36",4,0.185185185185185
"doc37",4,0.192982456140351
"doc4",4,0.186440677966102
"doc5",4,0.192307692307692
"doc7",4,0.208955223880597
"doc9",4,0.232142857142857
"doc2",5,0.131313131313131
"doc11",5,0.119718309859155
"doc29",5,0.219047619047619
"doc6",5,0.276785714285714
"doc1",5,0.202380952380952
"doc14",5,0.1625
"doc15",5,0.193548387096774
"doc17",5,0.201923076923077
"doc20",5,0.25531914893617
"doc38",5,0.202247191011236
"doc10",5,0.181818181818182
"doc16",5,0.24
"doc18",5,0.19047619047619
"doc19",5,0.192982456140351
"doc21",5,0.208955223880597
"doc25",5,0.205479452054795
"doc27",5,0.183098591549296
"doc35",5,0.205882352941176
"doc8",5,0.173333333333333
"doc12",5,0.209677419354839
"doc13",5,0.178571428571429
"doc22",5,0.196428571428571
"doc23",5,0.185185185185185
"doc24",5,0.196078431372549
"doc26",5,0.234375
"doc28",5,0.215384615384615
"doc3",5,0.183098591549296
"doc30",5,0.205479452054795
"doc31",5,0.203703703703704
"doc32",5,0.19672131147541
"doc33",5,0.192307692307692
"doc34",5,0.186440677966102
"doc36",5,0.185185185185185
"doc37",5,0.210526315789474
"doc4",5,0.186440677966102
"doc5",5,0.192307692307692
"doc7",5,0.208955223880597
"doc9",5,0.214285714285714
