"topic","term","beta"
1,"peopl",0.0359361135758651
1,"start",0.0226264418811003
1,"file",0.018189884649512
1,"human",0.018189884649512
1,"note",0.018189884649512
1,"struggl",0.0137533274179237
1,"skill",0.0137533274179237
1,"decreas",0.0137533274179237
1,"lazi",0.0137533274179237
1,"lot",0.0137533274179237
1,"understand",0.0137533274179237
1,"agre",0.0137533274179237
1,"read",0.0137533274179237
2,"tool",0.0493072534637327
2,"job",0.0330073349633252
2,"question",0.0248573757131214
2,"calcul",0.0207823960880196
2,"don’t",0.0207823960880196
2,"start",0.0167074164629177
2,"increas",0.0167074164629177
2,"skill",0.0167074164629177
2,"post",0.0126324368378158
2,"process",0.0126324368378158
2,"you’r",0.0126324368378158
2,"secur",0.0126324368378158
2,"huge",0.0126324368378158
2,"real",0.0126324368378158
2,"employ",0.0126324368378158
3,"inform",0.033115671641791
3,"feel",0.0284514925373134
3,"compani",0.0191231343283582
3,"edit",0.0191231343283582
3,"english",0.0144589552238806
3,"http",0.0144589552238806
3,"sourc",0.0144589552238806
3,"dai",0.0144589552238806
3,"stuff",0.0144589552238806
3,"ambigu",0.00979477611940299
3,"idea",0.00979477611940299
3,"nativ",0.00979477611940299
3,"speaker",0.00979477611940299
3,"effici",0.00979477611940299
3,"construct",0.00979477611940299
3,"studi",0.00979477611940299
3,"formula",0.00979477611940299
3,"move",0.00979477611940299
3,"reli",0.00979477611940299
3,"evalu",0.00979477611940299
3,"differ",0.00979477611940299
3,"employe",0.00979477611940299
3,"spend",0.00979477611940299
3,"focu",0.00979477611940299
3,"live",0.00979477611940299
3,"internet",0.00979477611940299
3,"socrat",0.00979477611940299
3,"assist",0.00979477611940299
3,"organ",0.00979477611940299
4,"data",0.0359361135758651
4,"plain",0.0226264418811003
4,"translat",0.018189884649512
4,"excel",0.018189884649512
4,"product",0.018189884649512
4,"think",0.018189884649512
4,"it’",0.018189884649512
4,"basic",0.0137533274179237
4,"take",0.0137533274179237
4,"drive",0.0137533274179237
4,"confidenti",0.0137533274179237
4,"corpor",0.0137533274179237
4,"aspect",0.0137533274179237
5,"time",0.0409172661870504
5,"intellig",0.0364208633093525
5,"profession",0.0184352517985611
5,"brain",0.0184352517985611
5,"report",0.0184352517985611
5,"chatgpt",0.0184352517985611
5,"wrong",0.0139388489208633
5,"critic",0.0139388489208633
5,"write",0.0139388489208633
5,"social",0.0139388489208633
